Key,Arabic,Azerbaijani,Bulgarian,Brazilian_Portuguese,Croatian,Czech,Danish,Dutch,English,Filipino,Finnish,French,German,Greek,Hebrew,Hungarian,Icelandic,Indonesian,Italian,Japanese,Kazakh,Korean,Latvian,Lithuanian,Malay,Norwegian,Polish,Portuguese,Romanian,Russian,Simplified_Chinese,Slovak,Slovenian,Spanish,Swedish,Thai,Traditional_Chinese,Turkish,Ukrainian,Uzbek,Vietnamese
TranslateLang,عربي,Azərbaycan,български,Portugues_do_Brasil,Hrvatski,čeština,Dansk,Nederlands,English,Filipino,Suomalainen,Français,Deutsch,Ελληνικά,עִברִית,Magyar,íslenskur,Bahasa,Italiana,日本語,қазақ,한국인,latviski,lietuvių,Melayu,norsk,Polski,Português,Română,Русский,简体中文,slovenský,Slovenščina,Española,svenska,แบบไทย,繁體中文,Türkçe,українська,o'zbek,Tiếng_Việt
RATE,معدل,RATE,СТАВКА,AVALIAR,STOPA,HODNOTIT,SATS,TARIEF,RATE,RATE,RATE,TAUX,RATE,ΤΙΜΗ,ציון,MÉRTÉK,VERÐA,KECEPATAN,VALUTARE,レート,БАҒА,비율,LIKE,RATE,KADAR,VURDERE,WSKAŹNIK,AVALIAR,RATĂ,СТАВКА,速度,RATE,OCENITI,TASA,BETYGSÄTTA,ประเมิน,速度,ORAN,СТАВКА,RATE,TỶ LỆ
Are you enjoying word tourney,هل تستمتع بجولة الكلمات,Söz turnirindən zövq alırsınız,Харесва ли ви Word Tourney,Você está gostando do torneio de palavras,Uživate li u turniru riječi,Baví tě slovní turnaj?,Nyder du ordturnering,Geniet je van het woordtoernooi?,Are you enjoying word tourney,Nag-enjoy ka ba sa word tournament,Nautitko sanaturnauksesta,Aimez-vous le tournoi de mots,Gefällt Ihnen das Wortturnier?,Απολαμβάνετε το word τουρνουά,האם אתה נהנה מסיבוב מילים,Élvezed a szóversenyt,Ertu að njóta orðaferða,Apakah Anda menikmati turnamen kata,Ti stai divertendo con il torneo di parole?,ワードトーナメント楽しんでますか？,Сізге сөздік турнир ұнады ма?,단어 토너먼트를 즐기고 있습니까?,Vai jums patīk vārdu turnīrs,Ar jums patinka žodžių turnyras,Adakah anda menikmati pertandingan perkataan,Liker du ordturnering,Czy lubisz turnieje słowne?,Você está gostando do torneio de palavras,Vă bucurați de turneul de cuvinte,Вам нравится словесный турнир?,你喜欢单词锦标赛吗,Tešíš sa na slovný turnaj?,Ali uživate v besednem turnirju?,¿Estás disfrutando del torneo de palabras?,Tycker du om ordturnering,คุณเพลิดเพลินกับ word tourney หรือไม่,你喜歡單字錦標賽嗎,Kelime turnuvasından hoşlanıyor musun?,Вам подобається турнір зі слів,Sizga so'z turkumi yoqyaptimi?,Bạn có thích giải đấu chữ không
Friend,صديق,dost,приятел,Amigo,Prijatelj,příteli,Ven,Vriend,Friend,kaibigan,ystävä,Ami,Freund,Φίλε,חבר,Barát,Vinur,Teman,Amico,友達,дос,친구,Draugs,Draugas,kawan,Venn,Przyjaciel,Amigo,Prietene,Друг,朋友,Priateľ,prijatelj,Amigo,Vän,เพื่อน,朋友,Arkadaş,Друг,Do'stim,Bạn bè
collect,يجمع,toplamaq,събирам,coletar,prikupiti,sbírat,indsamle,verzamelen,collect,mangolekta,kerätä,collecter,sammeln,συλλέγω,לאסוף,gyűjt,safna,mengumpulkan,raccogliere,集める,жинау,모으다,savākt,rinkti,mengumpul,samle inn,zbierać,coletar,colectarea,собирать,收集,zbierať,zbirati,recolectar,samla,เก็บรวบรวม,收集,TOPLAMAK,збирати,yig'ish,sưu tầm
your reward,مكافأتك,sənin mükafatın,вашата награда,sua recompensa,svoju nagradu,vaši odměnu,din belønning,je beloning,your reward,ang iyong gantimpala,sinun palkintosi,ta récompense,deine Belohnung,η ανταμοιβή σας,הפרס שלך,a jutalmad,verðlaun þín,upahmu,Il tuo premio,あなたの報酬,сіздің сыйлығыңыз,당신의 보상,jūsu atlīdzība,tavo atlygis,ganjaran anda,din belønning,Twoja nagroda,sua recompensa,recompensa ta,твоя награда,你的奖励,vaša odmena,tvoja nagrada,tu recompensa,din belöning,รางวัลของคุณ,你的獎勵,senin ödülün,ваша винагорода,sizning mukofotingiz,phần thưởng của bạn
Tournament Reward,مكافأة البطولة,Turnirin Mükafatı,Турнирна награда,Recompensa do Torneio,Nagrada za turnir,Odměna za turnaj,Turneringsbelønning,Toernooi beloning,Tournament Reward,Gantimpala sa Tournament,Turnauksen palkinto,Récompense du tournoi,Turnierbelohnung,Επιβράβευση Τουρνουά,פרס בטורניר,Verseny jutalma,Verðlaun fyrir mótið,Hadiah Turnamen,Premio del torneo,トーナメント報酬,Турнир сыйлығы,토너먼트 보상,Turnīra balva,Turnyro apdovanojimas,Ganjaran Kejohanan,Turneringsbelønning,Nagroda turniejowa,Recompensa do Torneio,Recompensa de turneu,Награда за турнир,锦标赛奖励,Turnajová odmena,Nagrada za turnir,Recompensa del torneo,Turneringsbelöning,รางวัลการแข่งขัน,錦標賽獎勵,Turnuva Ödülü,Нагорода за турнір,Turnir mukofoti,Phần thưởng giải đấu
Tournaments,البطولات,Turnirlər,Турнири,Torneios,Turniri,Turnaje,Turneringer,Toernooien,Tournaments,Mga paligsahan,Turnaukset,Tournois,Turniere,Τουρνουά,טורנירים,Versenyek,Mót,Turnamen,Tornei,トーナメント,Турнирлер,토너먼트,Turnīri,Turnyrai,Kejohanan,Turneringer,Turnieje,Torneios,Turnee,Турниры,锦标赛,Turnaje,Turnirji,Torneos,Turneringar,ทัวร์นาเมนต์,錦標賽,Turnuvalar,Турніри,Turnirlar,Giải đấu
Completed,مكتمل,Tamamlandı,Завършено,Concluído,Završeno,Dokončeno,Færdiggjort,Voltooid,Completed,Nakumpleto,Valmis,Complété,Vollendet,Ολοκληρώθηκε το,הושלם,Befejezve,Lokið,Lengkap,Completato,完了しました,Аяқталды,완전한,Pabeigts,Užbaigta,Selesai,Fullført,Zakończony,Concluído,Efectuat,Завершенный,完全的,Dokončené,Dokončano,Terminado,Avslutad,สมบูรณ์,完全的,Tamamlanmış,Виконано,Bajarildi,Hoàn thành
